Company Name,Ticker,Market Cap (mil),Last EPS Surprise (%),Div. Yield %,Exchange,Month of Fiscal Yr End,Sector,Industry,F2 Consensus Est.,F1 Consensus Est.,F0 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Next EPS Report Date  (yyyymmdd),Current ROE (TTM),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Annual Sales ($mil),EBITDA ($mil),EBIT ($mil),Net Margin %,Operating Margin 12 Mo %,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Avg Volume,52 Week High,52 Week Low,Beta,% Price Change (YTD),Dividend ,Current Assets  ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Shares Outstanding (mil)
"Crown Castle Inc.","CCI","51398.48","-1.55","5.28","NYSE","12","Finance","REIT and Equity Trust - Other","7.49","7.64","7.36","15.99","15.52","15.82","","15.1","7.12","7.32","20230719","22.12","6.41","7192.94677","6986","4114","2390","23.81","23.81","74.86399","2.9784",".52",".45","1929814","193.39","118.52",".65","-12.62","6.26","1217","2731","20910","433.67"
"Cameco","CCJ","11657.23","0",".33","NYSE","12","Basic Materials","Mining - Miscellaneous","1.68",".89",".31","62.6","30.25","16.02",".54","48.46","2.65","7.15","20230726","4.26","-3.07","","1436.85","267.604","131.166","7.84","10.78","14.34099",".16741","7.75","4.74","3410444","30.47","20.59",".95","18.75",".09","2555.00195","431.39898","766.89202","433.03"
"Crown Holdings","CCK","10120.84","15.38","1.14","NYSE","12","Industrial Products","Containers - Metal and Glass","7.25","6.28","6.65","14.21","13.41","11.63","2.68","7.9","4.08",".79","20230719","31.41","3.83","13105.56933","12943","1800","1340","4.81","5.6","73.94999","2.83883","1.3",".67","985971","114.5","66.76","1.05","2.51",".96","4659","3932","6792","120.1"
"Carnival","CCL","10546.33","11.29","0","NYSE","11","Consumer Discretionary","Leisure and Recreation Services",".74","-.3","-4.69","","","12.8","","","1.71",".7","20230623","-57.75","-33.58","21078.3125","12168","-2025","-4471","-32.68","-28.8","84.11499","5.2953",".64",".67","27147030","17.73","6.38","2.22","17.25","0","7492","10605","31953","1116.01"
"Cogent Communications","CCOI","3290.62","-83.33","5.43","NSDQ","12","Computer and Technology","Wireless National",".79",".61",".27","425.81","112.3","86.79","","32.36","","5.49","20230504","-1.59","4.07","625.57299","599.6","187.64599","93.95999",".86","1.23","","-2.37415","3.04","3.04","232824","70.4","49.18",".44","19.36","3.7","365.91299","120.28399","1231.307","48.3"
"China Coal Energy","CCOZY","10742.83","","4.68","OTC","12","Oils-Energy","Coal","5.55","5.16","5.4","3.38","3.14","2.92","","2.71",".45",".33","20230503","13.17","","38128.5","32781.03","5919.69921","4243.18798","9.58","9.58","","","","","1","18.52","14.96","-.11","-3.43",".76","16272.70019","13600.49023","11630.66992","662.93"
"Ceridian HCM","CDAY","9690.14","76.92","0","NYSE","12","Computer and Technology","Internet - Software","1.65","1.26",".68","82.42","50.53","38.46","","139.7","4.57","7.78","20230503","-1.17","11.69","1490.70996","1246.2","59.29999","-34.3","-5.89","-1.97","36.51699",".57523","1.08","1.08","1096726","77.99","44.05","1.44","-1.08","0","4894","4533.5","1213.40002","152.7"
"Cadence Design Systems","CDNS","56982.77","3.2","0","NSDQ","12","Computer and Technology","Computer - Software","5.58","5","4.21","47.6","41.83","37.45","2.15","53.39","19.38","15.48","20230724","33.8","13.49","4050.56005","3561.72","1201.51904","1068.29699","23.24","25.29","18.06299",".22044","1.44","1.17","1597873","217.01","135.68","1.07","30.09","0","1706.76696","1347.69604","648.078","272.68"
"CDW","CDW","22760.4","2.04","1.41","NSDQ","12","Computer and Technology","Computers - IT Services","10.59","9.34","9.75","17.15","17.98","15.85","1.37","14.46","14.18",".96","20230503","103.95","9.33","22496.24218","23748.7","2014.09997","1723.5","4.69","5.39","78.536","3.65895","1.33","1.17","1135584","214.25","152.59","1.11","-6","2.36","6564","4947.10009","5866.3999","135.59"
"Celanese","CE","11067.62","-7.69","2.74","NYSE","12","Basic Materials","Chemical - Specialty","13.98","11.64","16.06","6.41","8.77","7.3","5.48","5","1.81","1.14","20230509","32.15","7.71","11282.17968","9673","2304","1826","19.58","17.93","68.65699","2.19049","1.63",".93","810625","161.3","87.85","1.31","-.21","2.8","6611","4068","13373","108.47"
"Constellation Energy Corporation","CEG","25151.54","-78.72","1.47","NSDQ","12","Oils-Energy","Alternative Energy - Other","5.09","3.87","-.13","","19.83","15.09",".68","11.08","2.21","1.03","20230504","-1.4","","22882.15039","24440","2136","-291","-.65","-.65","28.19799",".39271","1.19","1","1497118","97.16","53.47",".65","-10.93","1.13","9360","7839","4466","327.54"
"Celsius","CELH","7633.1","180","0","NSDQ","12","Consumer Staples","Food - Miscellaneous","1.8","1.1","-2.38","","90.23","55.37","","","189.2","11.68","20230509","-17.67","83.63","1014.97198","653.6","-144.862","-152.66401","-28.65","-3.84",".40244",".00404","5.69","4.62","764490","118.23","41.31","1.8","-4.35","0","917.971","161.29499",".162","76.71"
"Cerevel Therapeutics","CERE","4839.91","7.81","0","NSDQ","12","Medical","Medical - Drugs","-2.97","-2.7","-2.36","","","","","","9.28","","20230503","-66.99","","","","-352.99701","-351.35102","","","39.159",".64362","12.48","12.48","561850","41.42","20.62","1.48","-2.05","0","905.651","72.564","335.48199","156.66"
"Certara","CERT","3739.76","14.29","0","NSDQ","12","Medical","Medical - Biomedical and Genetics",".58",".53",".44","50.94","44","40.4","1.51","36.17","3.47","11.14","20230508","5.97","","378.747","335.64","90.538","36.52799","4.39","18.81","21.172",".26859","3.32","3.32","885489","24.72","10.65","1.57","45.8","0","342.25201","103.15799","289.988","159.61"
"CF Industries","CF","14513.85","8.37","2.16","NYSE","12","Basic Materials","Fertilizers","6.79","8.95","15.95","4.65","8.28","10.9","1.38","3.3","1.79","1.41","20230807","42.23","19.99","7652.16308","11186","6289","5439","29.26","31.23","26.82699",".36662","4.46","3.22","2329843","118.35","69.3","1.01","-13.08","1.6","3673","995","2965","195.97"
"Citizens Financial Group","CFG","13042.43","-9.91","6.24","NYSE","12","Finance","Financial - Savings and Loan","4.62","4.61","4.14","5.74","5.85","5.83",".2","5.03",".59","1.27","20230718","11.12","2.57","8559.62597","9069","3617","3052","21.12","23.7","43.79199",".84982",".94",".92","9888080","44.46","26.93","1.32","-31.6","1.68","166511","180727","15887","484.31"
"Confluent","CFLT","5968.16","0","0","NSDQ","12","Business Services","Technology Services",".08","-.27","-.58","","","263.57","","","7.71","10.19","20230503","-55.61","","761.93597","585.94","-406.391","-446.258","-77.24","-75.6","58.49599","1.40939","5.18","5.18","2752053","33.73","17.76",".94","-7.82","0","2198.125","424.32998","1084.5","291.13"
"Cullen/Frost Bankers","CFR","6561.57","5.88","3.42","NYSE","12","Finance","Banks - Southwest","9.34","9.84","8.68","10.18","10.36","10.9","1.09","8.77","1.98","3.03","20230727","21.59","4.47","2090.49902","1880.54","881.53302","712.789","30.4","30.4","6.0282",".06695",".58",".61","591717","158.6","97.86","1.04","-23.79","3.48","30061.4707","49532.73828","222.404","64.4"
"Compagnie Financiere Richemont","CFRUY","173199.61","",".74","OTC","3","Retail-Wholesale","Retail - Jewelry",".8",".75",".7","","22.02","20.74","1.07","51.13","7.5","","20230519","","","22232.67968","21521.93","5105.70019","4110.60009","","","","","","","211262","17.03","9.36","1.16","28.7",".12","29508.90039","12214.38964","6914.5498","10440"
"Carlyle Group","CG","10572.05","5.21","4.45","NSDQ","12","Finance","Financial - Investment Funds","4.35","3.23","4.29","6.73","9.05","6.71","","5.16","1.56","2.38","20230504","27.5","26.35","3712.87011","4438.7","2041.90002","1894.5","27.6","40.68","54.519","1.19873","2.58","2.58","2693962","40.54","25.43","1.67","-2.14","1.3","13039.70019","5052.60009","8176.8999","362.06"
"Cap Gemini","CGEMY","31487.79","","0","OTC","12","Business Services","Outsourcing","2.6","2.38","2.19","","15.24","13.98","1.82","11.47","3.07","","","","","24377.35937","23177.96","3138.67407","2381.13598","","","36.726",".58041","1.28","1.28","39758","41.45","29.75","1.4","8.82","0","10896.33007","8497.28417","5958.10791","867.91"
"Cognex","CGNX","8026.49","-12.9",".6","NSDQ","12","Computer and Technology","Electronics - Testing Equipment","1.41",".99","1.33","35.47","46.78","33","","31.63","5.57","7.98","20230504","16.42","7.82","931.39898","1006.09","275.28399","250.695","21.42","22.75","0","0","3.82","3.17","525586","68.12","40.88","1.6","-1.36",".28","717.69897","187.70799","0","172.72"
"Chiba Bank","CHBAY","5510.97","","1.89","OTC","3","Finance","Banks - Foreign","","","","","","","","10.96",".58","","","","","","2197.54","822.53198","737.98498","","","","","","","3","37.38","25.95",".65","36.92",".71","135120.29687","138513.59375","11606.87988","147.43"
"China CITIC Bank","CHCJY","26351.5","","7.07","OTC","12","Finance","Banks - Foreign","","","","","","","","2.68",".27","","20230505","","","","55592.56","17173.375","16064.66015","","","61.08499","1.56971",".85","","81","10.9","7.45",".02","22.04",".76","835821.5","972085.875","148521.5","2446.75"
"Church & Dwight Co.","CHD","23698.49","11.84","1.12","NYSE","12","Consumer Staples","Soap and Cleaning Materials","3.38","3.1","2.95","32.45","31.32","28.74","3.96","24.89","6.46","4.3","20230804","20.49","7.27","5754.74804","5375.6","831.90002","612.90002","7.49","13.39","39.555",".65438","1.18",".63","1342641","98.64","70.72",".46","20.36","1.09","1395.90002","1183.80004","2599.5","244.26"
"Churchill Downs","CHDN","11147.03","12.64",".24","NSDQ","12","Consumer Discretionary","Gaming","14.59","11.68","8.41","33.31","25.49","20.41","2.28","25.98","15.83","5.56","20230726","55.53","14.03","2520.14599","1809.8","875.09997","756.09997","27.58","17.11","86.069","6.17821",".54",".55","194156","298.16","173.72","1.12","40.84",".71","344.5","621.59997","4558.70019","37.43"
"Christian Dior","CHDRY","161077.69","","1.4","OTC","12","Retail-Wholesale","Retail - Apparel and Shoes","","","","","","","","12.64","2.94","","","","","","75977.91","27476.31054","20582.38671","","","","","","","53","241.32","134.32","1.03","23.6","3.12","40701.01171","33142.17968","14392.41015","722.03"
"Chemed","CHE","8235.49","-2.03",".28","NYSE","12","Medical","Medical - Outpatient and Home Healthcare","22.65","20.86","19.67","27.71","26.29","24.21","2.98","22.79","9.36","3.8","20230726","37.83","5.09","2251.84497","2134.96","393.777","334.263","11.07","13.48","1.81299",".01846",".93",".88","56258","567.21","432.5",".54","7.42","1.52","272.61199","297.20498","92.5","15.02"
"Chugai Pharmaceutical Co.","CHGCY","42934.21","-11.76","1.66","OTC","12","Medical","Medical - Drugs","2.85","2.84",".76","14.83","4.6","4.58","","13.81","3.91","4.44","20230508","28.3","","8111.60009","9647.41","4332.49023","4090.44799","30.12","30.12","","","3.15","2.46","78289","15.01","11.4",".58","3",".22","10291.33007","3262.72094","0","3289.98"
"Choice Hotels International","CHH","6583.65","16.67",".9","NYSE","12","Consumer Discretionary","Hotels and Motels","6.24","5.91","5.09","24.31","21.73","20.57","1.75","18.38","44.24","4.7","20230509","99.85","2.61","1506.56005","1401.95","560.182","480.60299","23.69","20.84","88.58799","7.76249",".8",".8","364396","139.38","104.22","1.27","13.97","1.15","347.92199","435.89801","1200.54699","51.28"
"Chesapeake Energy","CHK","10741.22","20.65","2.75","NSDQ","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","6.64","4.45","16.13","5","18.01","12.06",".76","2.52","1.18",".76","20230801","33.09","-8.28","4186.60498","11743","5564","3811","50","16.55","25.31699",".33899","1","1","1223757","104.75","71.66",".65","-15.11","2.2","2698","2704","3093","134.08"
"Check Point Software Technologies","CHKP","14582.01","3.45","0","NSDQ","12","Computer and Technology","Computers - IT Services","8.76","7.97","7.32","15.76","15.15","13.78","2.07","16.46","5.08","6.2","20230807","28.35","4.5","2433.77587","2329.9","983","928.29998","34.49","35.36","0","0","1.2","1.27","829333","134.5","109.32",".68","-4.29","0","2331.80004","1839.19995","0","120.76"
"Chord Energy Corporation","CHRD","5684.29","-10.36","3.66","NSDQ","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","31.05","22.48","28.02","4.86","6.07","4.4",".32","4.57","1.21","1.56","20230503","29.44","","3305.333","3646.79","1785.781","1412.92797","50.9","23.8","7.76919",".08423","1.09","1.05","391197","178.19","100.32","1.36","-.2","5","1482.51196","1361.333","394.20901","41.63"
"C.H. Robinson Worldwide","CHRW","12156.22","-2.97","2.34","NSDQ","12","Transportation","Transportation - Services","4.76","4.04","7.79","16.16","25.86","21.94","3.53","11.58","8.8",".54","20230726","50.56","12.29","19100.01757","24696.63","1359.55798","1266.78198","3.5","3.63","39.983",".66619","1.1","1.08","1191096","119.55","88.17",".79","14.02","2.44","3589.23803","3322.85205","920.04901","116.44"
"Chunghwa Telecom","CHT","31549.53","","2.93","NYSE","12","Utilities","Diversified Communication Services","",".16","","25.74","262.39","","","12.57","2.48","4.34","20230502","9.38","1.06","","7275.28","2828","1545","16.88","16.88","7.5734",".08194","1.5","1.34","93555","43.77","33.05",".13","11.15","1.19","3316","2204","1044","775.74"
"Charter Communications","CHTR","54531.66","-7.77","0","NSDQ","12","Consumer Discretionary","Cable Television","36.69","31.14","31.02","11.7","11.47","9.74",".48","3.91","4.23","1","20230804","37.99","5.66","55103.04687","54022","20921","12018","8.95","8.95","88.15","7.43861",".33",".33","1054215","509.94","303.35","1.1","5.35","0","4017","12065","96093","152.65"
"Chewy","CHWY","13278","233.33","0","NYSE","1","Consumer Staples","Consumer Products - Staples",".14","-.02","-.03","119.61","","230.37","","90.68","61.83","1.31","20230607","45.19","31.36","11229.76074","10098.94","135.18499","51.87799",".49",".62","0","0",".86",".48","3328607","50.01","23.31",".76","-16.13","0","1520.32104","1769.34899","0","426.95"
"ChampionX","CHX","5115.64","0","1.32","NSDQ","12","Construction","Engineering - R and D Services","2.16","1.85","1.22","18.46","14.01","11.94",".49","9.41","3.06","1.32","20230725","16.87","37.81","4009.1499","3805.95","527.25799","242.00999","4.68","7.41","26.298",".35681","1.75","1.11","1250169","33.02","17.57","2.55","-10.87",".34","1498.58105","858.97601","621.70202","197.97"
"Cigna Group","CI","74389.76","2.48","1.96","NYSE","12","Finance","Insurance - Multi line","28.19","24.77","23.15","10.78","10.11","8.88",".89","7.49","1.71",".41","20230505","16.01","37.18","187892.17187","180516","12518","9581","3.69","4.04","38.55699",".62604",".7",".7","1659484","339.3","242.23",".62","-24.42","4.92","28790","41229","28100","297.06"
"China Mengniu Dairy","CIADY","15513.42","","1.33","OTC","12","Consumer Staples","Food - Dairy Products","2.68","2.34","","","16.77","14.65","","19.97","","","","","","15171.86035","11019.43","950.216","684.94897","","","","","","","13640","53.97","32",".35","-12.89",".52","4565.30322","3788.33691","2031.47399","395.25"
"China Construction Bank","CICHY","164007.2","","7.06","OTC","12","Finance","Banks - Foreign","","","","","","","","3.88","","","20230505","","","","161097.7","52569.43359","48775.66015","","","","","","","77108","14.78","10.57",".27","5.64",".93","3064785","3458149","136234.5","12500.55"
"China Cosco","CICOY","18073","","43.25","OTC","12","Transportation","Transportation - Shipping","","","4.94","","","","","4.66",".97","","","","","","58117.16","4444.98779","2653.4851","","","","","","","3233","9.25","4.97","1.54","11.61","2.45","10427.57031","10726.7998","10571.3496","3187.48"
"Ciena","CIEN","6667.44","77.78","0","NYSE","10","Computer and Technology","Fiber Optics","3.61","2.81","1.38","21.49","15.89","12.37","1.06","18.97","2.35","1.73","20230601","8.22","4.52","4410.90722","3632.66","369.75799","229.55499","4.77","5.88","35.284",".54521","3.7","2.34","1444964","57.45","39.16","1","-12.32","0","3385.89599","1040.583","1061.125","149.16"
"Comp En De Mn Cemig","CIG","5327.32","","7.75","NYSE","12","Utilities","Utility - Electric Power","",".29",".3","8.64","8.34","","","5.99","1.32",".8","20230512","17.46","","","6236.21","1638.79394","1444.41394","10.31","10.31","33.02799",".49317","1.27","","3639828","2.58","1.87",".74","19.21",".19","2399.44995","1980.48596","1868.01","2201.37"
"Colliers International Group","CIGI","3951.59","-44.7",".32","NSDQ","12","Finance","Real Estate - Operations","8.38","7.8","7.01","14.71","12.1","11.27","","7.96","7.97",".89","20230802","47.58","13.12","4658.4331","4459.49","515.56201","338.14099","1.01","5.25","84.758","3.37324",".9",".9","111127","132.84","86.07","1.49","2.62",".3","1213.42602","1341.58203","1664.27294","41.84"
"China Merchants Bank","CIHKY","120046.46","","4.09","OTC","12","Finance","Banks - Foreign","4.81","4.31","","6.07","5.52","4.95","","5.95",".91","1.74","20230505","15.5","9.03","52.5","67880.2","24554.9414","22966.81054","29.83","29.83","20.26499",".2619",".88","","31646","33.94","16.34",".57","-13.83",".97","1093484","1188652","69229.97656","5043.97"
"Cincinnati Financial","CINF","16293.53","30.88","2.89","NSDQ","12","Finance","Insurance - Property and Casualty","5.76","4.57","4.21","29.28","22.68","17.98","1.48","20.36","1.52","2.15","20230726","5.44","6.71","8302.2373","6557","-513","-640",".16","7.4","7.69159",".08332",".28",".3","550513","128.42","89.57",".61","1.22","3","4478","15148","891","157.21"
"Civitas Resources","CIVI","5307.77","-.8","3.03","NYSE","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","10.56","9.29","13.32","5.01","7.12","6.26","","2.93","1.05","1.4","20230503","21.74","69.71","2814.54003","3791.4","2506.88696","1685.97705","32.92","29.04","6.81949",".07318","1.13","1.13","458784","83.75","46.74","1.74","14.1","2","1328.43005","1177.927","393.29299","80.3"
"CHOW TAI FOOK","CJEWY","19102.5","","2.43","OTC","3","Retail-Wholesale","Retail - Jewelry","1.21","1.03",".87","","18.55","15.79","","20.82","4.6","","20230608","","","14376.61035","12709.67","1271.44897","1131.40698","","","7.0657",".07602","1.51","","329","22.47","15.5",".67","-5.22",".46","7126.34716","3759.34399","232.05799","1000"
"CK Hutchison","CKHUY","25508.1","","2.57","OTC","12","Conglomerates","Diversified Operations","","","","","","","","2.53",".31","","","","","","36006","12077.73242","6835","","","","","","","161982","7.11","4.94",".76","11.93",".17","30063","23258","33358","3830.04"
"ColgatePalmolive","CL","67070.59","4.29","2.37","NYSE","12","Consumer Staples","Soap and Cleaning Materials","3.43","3.13","2.97","27.31","25.84","23.6","4.16","17.96","157.81","3.66","20230804","348.63","3.89","19020.20117","17967","4079","2813","8.71","13.51","95.428","20.87058","1.23",".76","5232104","83.27","68.48",".49","2.61","1.92","5113","4004","8741","829.57"
"ClevelandCliffs","CLF","7870.41","47.62","0","NYSE","12","Basic Materials","Mining - Miscellaneous","2.67","2.09","2.61","12.84","7.32","5.73","","2.99","1.01",".35","20230728","8.32","94.08","21129.53125","22989","3106","2072","2.14","2.8","36.909",".58501","2.15",".65","10056712","27.01","11.87","2.22","-5.15","0","7422","3549","4249","515.08"
"Clean Harbors","CLH","8015","11.63","0","NYSE","12","Business Services","Waste Removal Services","7.67","6.85","7.31","20.46","21.31","19.04","","10.44","4.11","1.55","20230503","22.03","8.7","5315.12207","5166.6","1012.49902","645.66101","7.97","7.54","55.678","1.2562","1.99","1.68","301364","146.15","82.86","1.38","27.99","0","2033.76098","1020.09399","2414.82788","54.88"
"Clarivate","CLVT","5647.55","29.41","0","NYSE","12","Computer and Technology","Internet - Software",".92",".81",".81","9.84","10.35","9.09",".82","4.48","1.04","2.12","20230509","7.2","33.9","2672.40698","2659.8","-3008.30005","-3718.80005","-148.89","20.35","42.352",".92344",".89",".89","4114218","15.65","8.01","1.07",".24","0","1395.19995","1559.80004","5005","675.54"
"Clorox","CLX","20717.6","25.83","2.81","NYSE","6","Consumer Staples","Soap and Cleaning Materials","5.42","4.24","4.13","38.56","39.6","30.93","3.39","28.23","42.19","2.89","20230802","94.62","4.45","7138.49316","7107","937","713","1.03","7.55","83.45099","5.04276",".86",".54","1018595","167.72","122.57",".3","19.52","4.72","1725","1784","2474","123.53"
"Canadian Imperial Bank of Commerce","CM","36896.8","17.07","6.16","NYSE","10","Finance","Banks - Foreign","5.78","5.63","5.51","7.53","7.18","7","2.13","6.14","1.1","1.26","20230525","14.51","2.72","17319.69921","24666.52","8289.23242","7475.92285","12.75","17.32","12.786",".16266","1.05","1.04","910527","56.41","39.5","1.01","0","2.49","650655.5","622693","4887.625","912.16"
"Comerica","CMA","4900.75","5.75","7.63","NYSE","12","Finance","Banks - Major Regional","7.98","8.37","8.47","3.92","4.45","4.66","1.04","3.9",".88","1.15","20230719","24.34","-1.88","3739.12597","3740","1702","1580","30.16","30.16","54.16699","1.26499",".93",".85","3832808","86.59","37.22","1.14","-44.32","2.84","65994","77201","3024","131.67"
"CHINA MINSHENG","CMAKY","15586.54","","6.63","OTC","12","Finance","Banks - Foreign","","","","3.6","","","","2.41",".17",".34","20230505","","","","47312.98","17275.375","16127.29003","","","","","","","62","3.81","2.78",".43","6.59",".24","735478.625","861737.3125","110208.70312","4378.24"
"Commercial Metals","CMC","5296.04","-5.88","1.42","NYSE","8","Basic Materials","Steel - Producers","5.77","7.77","9.85","5.17","5.82","7.83","","4.63","1.4",".58","20230615","30.52","14.8","8575.79492","8913.48","1740.88","1565.85595","11.37","11.48","22.52199",".29068","3.07","1.67","610431","57.11","32.77","1.26","-6.38",".64","3441.46801","1356.98706","1113.24902","117.12"
"Comcast","CMCSA","173701.52","15","2.82","NSDQ","12","Consumer Discretionary","Cable Television","4.07","3.71","3.6","11.1","11.11","10.12",".85","5.8","2.09","1.45","20230727","19.07","6.33","120153.6875","121427","27001","13180","4.71","13.43","53.31499","1.13693",".69",".78","16712565","44.28","28.68",".99","17.82","1.16","21826","27887","98240","4216.06"
"CME Group","CME","66738.91","2.54","2.37","NSDQ","12","Finance","Securities and Exchanges","8.85","8.74","7.95","22.38","21.23","20.96","4.54","20.41","2.44","13.05","20230726","10.88","3.34","5348.16699","5019.4","4015.60009","3653","55.99","58.79","11.111",".125","1.02","1.01","1260537","220.66","167.68",".41","10.33","4.4","139078.29687","137687.5","3422.3999","359.72"
"Chipotle Mexican Grill","CMG","56668.43","18.11","0","NYSE","12","Retail-Wholesale","Retail - Restaurants","52.18","43.38","33.37","54.63","47.35","39.36","1.49","47.19","22.83","6.31","20230725","45.01","15.46","9828.19726","8634.65","1468.35705","1181.531","11.49","11.69","0","0","1.41","1.24","354951","2067.62","1204.01","1.34","48.03","0","1175.83703","921.88","0","27.59"
"China Merchants Holdings International","CMHHY","5880.97","","0","OTC","12","Conglomerates","Diversified Operations","","","","","","","","4.47",".38","","","","","","1525.09","1895.36499","1601.15698","","","","","","","20","16.54","11.18",".81","28.41","0","1968.98095","2727.02392","2861.12988","400.34"
"Cummins","CMI","32220.11","15.38","2.76","NYSE","12","Auto-Tires-Trucks","Automotive - Internal Combustion Engines","19.6","19.08","15.2","12.61","11.93","11.61","1.31","10.65","3.03","1.07","20230801","25.94","2.3","32073.8164","28074","3802","3018","8.37","8.52","30.54299",".41516","1.29",".77","864705","258.06","185.89","1","-6.05","6.28","14451","11421","4498","141.54"
"Compass Group","CMPGY","45560.02","","1.91","OTC","9","Retail-Wholesale","Retail - Restaurants","1.2","1.04",".72","","25.11","21.76","1.31","21.09","6.07","","","","","37425.23828","32674.46","2762.68603","2023.66394","","","40.323",".67569",".95",".88","173568","26.35","19.27","1.07","12.2",".5","8562.14843","9007.86621","5110.39208","1744.93"
"CMS Energy","CMS","17933.94","6.06","3.17","NYSE","12","Utilities","Utility - Electric Power","3.35","3.1","2.89","25.73","19.85","18.35","2.47","9.12","2.41","2.11","20230727","9.59","4.8","8913.15527","8596","2549","1423","8.09","8.26","63.039","1.757","1.02",".78","2357611","71.82","53.36",".36","-2.91","1.95","3433","2985","13190","291.66"
"Commonwealth Bank of Australia","CMWAY","112229.94","","4.15","OTC","6","Finance","Banks - Foreign","4.18","4.17","3.72","","15.96","15.92","2.59","24.06","","","","","","19159","23092.55","9889.17968","9889.17968","","","","","","","28331","78.96","58.32","1.1","-4.83","2.76","573826.3125","509650.40625","95690.77343","1686.4"
"CNA Financial","CNA","10639.16","-.83","4.28","NYSE","12","Finance","Insurance - Property and Casualty","4.52","4.3","3.67","10.12","9.13","8.69","1.83","10.97","1.23",".88","20230807","12.05","4.63","11200.58496","11879","1115","1193","7.23","8.7","22.658",".29295",".25",".27","154487","46.52","36.23",".64","-7.1","1.68","11283","41867","2538","270.85"
"Centene","CNC","37579.72","-5.38","0","NYSE","12","Medical","Medical - HMOs","6.77","6.41","5.72","11.34","10.68","10.11",".92","7.89","1.49",".26","20230725","13.61","25.82","142426.46875","144547","4180","2627","1.01","2.36","42.026",".72411","1.07","1.06","3469361","97.22","62.55",".56","-16.5","0","30128","28464","17938","548.77"
"CNH Industrial","CNHI","18913.47","0","0","NYSE","12","Auto-Tires-Trucks","Automotive - Foreign","1.71","1.69","1.47","9.51","8.31","8.24","","7.48","2.73",".8","20230505","31.61","-1.03","25294.63671","23551","3951","3416","8.62","8.5","76.86199","3.31485","7.15","5.99","4536059","17.9","10.77","1.63","-12.39","0","29670","4147","22962","1344.24"
"Canadian National Railway","CNI","78754.19","7.14","1.93","NYSE","12","Transportation","Transportation - Rail","6.4","5.82","5.56","19.6","20.35","18.5","2.6","15.09","5.11","5.88","20230725","25","3.62","12911.32128","13158.58","6953.56884","5623.62207","30.61","30.67","40.71099",".68665",".74",".66","1069774","128.76","106.95",".91","-.43","2.29","2474.51611","2955.26611","11054.94042","665.32"
"Core & Main","CNM","6515.85","-3.12","0","NYSE","1","Business Services","Waste Removal Services","1.95","1.87","2.15","10.22","14.18","13.58","","12.67","2.7",".98","20230613","20.64","","6605.91699","6651","923","775","5.5","6.93","37.46799",".59917","3.05","1.6","1288518","26.48","18.9",".83","37.13","0","2211","726","1444","246.07"
"CONMED","CNMD","3818.24","10",".64","NYSE","12","Medical","Medical - Dental Supplies","4.29","3.39","3.15","47.85","36.79","29.08","1.9","23.88","5.07","3.48","20230726","11.38","5.29","1223.46301","1045.47","32.472","-41.95701","-8.53","7.47","56.94699","1.3227","1.9",".84","390239","139.43","72.84","1.38","40.88",".8","581.22601","296.552","985.07598","30.58"
"CenterPoint Energy","CNP","18962.43","4.17","2.53","NYSE","12","Utilities","Utility - Electric Power","1.62","1.49","1.39","21.31","20.15","18.61","2.72","8.56","1.98","2.03","20230801","9.97","-5.95","9274.7373","9321","3229","1941","8.99","9.94","60.381","1.6499","1",".75","2818138","33.1","25.55",".88",".2",".76","4699","5113","161","631.03"
"Canadian Natural Resources Limited","CNQ","62851.34","-10.56","4.61","NYSE","12","Oils-Energy","Oil and Gas - Exploration and Production - Canadian","6.18","5.55","8.32","6.64","10.31","9.26",".84","4.06","2.15","1.65","20230504","33.18","18.28","24109.23437","38098.13","16619.33984","10963.41113","22.2","26.05","22.434",".28922",".82",".61","1869825","68.64","44.78","1.57","3.1","2.64","5428.24511","6654.34912","8492.7373","1097.84"
"Constellation Software","CNSWF","42637.36","",".2","OTC","12","Computer and Technology","Internet - Software","","","","38.72","","","","29.09","25.08","6.44","20230503","65.92","19.92","","6622","1081","442","7.73","16.62","45.73899",".84294",".63","","470","2012","1324.37","1.04","29.13","3.99","1835","2461","1105","21.19"
"Concentrix","CNXC","4830.79","-1.54","1.19","NSDQ","11","Business Services","Business - Services","13.01","11.77","12.06","8.1","7.89","7.13",".76","5.38","1.73",".75","20230626","20.63","","6768.20019","6324.47","984.61602","675.07897","6.42","8.72","44.221",".79278","1.76","1.55","325707","161.86","92.79",".48","-30.32","1.1","1754.33203","1132.12304","2224.28808","52.06"
"Capital One Financial","COF","34140.61","-39.21","2.68","NYSE","12","Finance","Financial - Consumer Loans","14.38","12.85","18.65","6.27","6.97","6.23","1.15","3.36",".62",".83","20230720","10.9","2.65","36628.70703","38373","14038","10828","14.33","13.97","46.881",".88256",".98",".99","2849859","134.3","87.87","1.47","-3.67","2.4","332654","334402","47832","381.25"
