Company Name,Ticker,Market Cap (mil),Last EPS Surprise (%),Div. Yield %,Exchange,Month of Fiscal Yr End,Sector,Industry,F2 Consensus Est.,F1 Consensus Est.,F0 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Next EPS Report Date  (yyyymmdd),Current ROE (TTM),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Annual Sales ($mil),EBITDA ($mil),EBIT ($mil),Net Margin %,Operating Margin 12 Mo %,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Avg Volume,52 Week High,52 Week Low,Beta,% Price Change (YTD),Dividend ,Current Assets  ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Shares Outstanding (mil)
"Affirm","AFRM","4343.62","24.18","0","NSDQ","6","Business Services","Business - Services","-2.99","-3.51","-2.43","","","","","","1.72","2.88","20230824","-37.86","51.22","1547.10095","1349.29","-728.99299","-724.831","-64.12","-64.12","65.467","1.89575","10.91","11.87","15859704","39.91","8.91","3.17","51.91","0","3290.90209","277.32901","4078.208","295.69"
"AGCO","AGCO","8698.47","32.95","1","NYSE","12","Industrial Products","Manufacturing - Farm Equipment","14.75","14.65","11.84","8.58","7.93","7.88",".75","7.22","2.1",".65","20230727","27.21","7.93","14566.07519","12651.4","1389.80004","1120.19995","7.3","7.63","30.235",".43337","1.59",".62","639791","144.24","90.25","1.34","-16.22","1.16","5739.2998","4088","1264.80004","74.86"
"Ageas","AGESY","8393.71","60.19","7.03","OTC","12","Finance","Insurance - Multi line","7.15","6.7","4.68","7.32","6.6","6.19",".82","4.26",".75",".67","20230524","","","","16295.35","2605.18603","1619.66394","","","","","","","5625","51.13","34.16",".72","-.67","3.11","4834.14599","105194.20312","4278.08984","189.73"
"","AGG","89551.3","","2.68","NYSE","12","Finance","Financial - Investment Funds","","","","","","","","","","","","","","","","","","","","","","","","5644957","104.23","93.63",".12","1.35","2.64","","","","911"
"Alamos Gold","AGI","4995.87","50",".79","NYSE","12","Basic Materials","Mining - Gold",".56",".46",".28","36.17","27.72","22.41","1.86","17.84","1.8","5.62","20230726","4.98","7.3","1006","821.2","279.6","108.09999","10.58","15.23","0","0","2.47","1.14","2746984","13.82","6.48","1.09","25.22",".1","441","181.89999","0","394.62"
"Agilon Health","AGL","9379.38","33.33","0","NYSE","12","Medical","Medical Services",".12","-.11","-.21","","","194.49","","","8.66","2.94","20230803","-7.98","","4443.5708","2708.21","-87.392","-101.16401","-2.88","-2.7","3.3285",".03443","1.93","2.71","4231751","28.69","15.39","1.13","40.09","0","1451.27404","535.091","38.48199","414.83"
"AGNC Investment","AGNC","5528.21","14.75","15.52","NSDQ","12","Finance","REIT and Equity Trust","1.88","2.36","3.07","2.98","3.94","4.93","","2.96",".87","3.99","20230724","29.22","7.03","832.98498","1590","-1177","-1190","-49.78","129.29","1.1669",".01493",".24",".24","10061493","12.8","7.37","1.22","-10.34","1.44","8956","36663","95","595.71"
"Assured Guaranty","AGO","3131.43","3.7","2.12","NYSE","12","Finance","Insurance - Multi line","5.65","4.6","","13.5","11.47","9.34","","11.86",".58","4.44","20230802","4.6","-7.33","706.70001","723","229","229","19.69","34.84","23.63599",".30951",".84",".7","220217","66.57","46.2","1.1","-15.24","1.12","2518","3620","1675","59.34"
"Avangrid","AGR","14935.94","-15.79","4.56","NYSE","12","Utilities","Utility - Electric Power","2.35","2.22","2.32","21.46","17.36","16.43","3.92","7.52",".73","1.81","20230725","3.43","5.09","8335.59765","7923","2229","1144","8.25","8.48","28.66799",".4019",".69",".61","643909","51.63","37.53",".42","-10.12","1.76","3210","4416","8223","386.64"
"Anhui Conch Cement","AHCHY","15325.58","","10.73","OTC","12","Construction","Building Products - Concrete and Aggregates","2","1.74","","","8.31","7.23","","",".54","","","","","18491.98046","25542.15","","6895.85693","","","","","","","25173","25.78","12.89",".5","-16.37","1.55","16389","3509.92993","986.48699","1059.86"
